"SpecialOfferID","DiscountPct","Type","Category","StartDate","EndDate","MinQty","MaxQty","ModifiedDate"
1,"0,00","No Discount","No Discount","2011-05-01 00:00:00.000","2014-11-30 00:00:00.000",0,"NULL","2011-04-01 00:00:00.000"
2,"0,02","Volume Discount","Reseller","2011-05-31 00:00:00.000","2014-05-30 00:00:00.000",11,"14","2011-05-01 00:00:00.000"
3,"0,05","Volume Discount","Reseller","2011-05-31 00:00:00.000","2014-05-30 00:00:00.000",15,"24","2011-05-01 00:00:00.000"
4,"0,10","Volume Discount","Reseller","2011-05-31 00:00:00.000","2014-05-30 00:00:00.000",25,"40","2011-05-01 00:00:00.000"
5,"0,15","Volume Discount","Reseller","2011-05-31 00:00:00.000","2014-05-30 00:00:00.000",41,"60","2011-05-01 00:00:00.000"
6,"0,20","Volume Discount","Reseller","2011-05-31 00:00:00.000","2014-05-30 00:00:00.000",61,"NULL","2011-05-01 00:00:00.000"
7,"0,35","Discontinued Product","Reseller","2012-04-13 00:00:00.000","2012-05-29 00:00:00.000",0,"NULL","2012-03-14 00:00:00.000"
8,"0,10","Seasonal Discount","Reseller","2012-05-30 00:00:00.000","2012-06-29 00:00:00.000",0,"NULL","2012-04-30 00:00:00.000"
9,"0,30","Excess Inventory","Reseller","2012-05-30 00:00:00.000","2012-07-30 00:00:00.000",0,"NULL","2012-04-30 00:00:00.000"
10,"0,50","Excess Inventory","Customer","2013-05-14 00:00:00.000","2013-07-29 00:00:00.000",0,"NULL","2013-04-14 00:00:00.000"
11,"0,15","Seasonal Discount","Reseller","2013-05-30 00:00:00.000","2013-06-29 00:00:00.000",0,"NULL","2013-04-30 00:00:00.000"
12,"0,35","Excess Inventory","Reseller","2013-05-30 00:00:00.000","2013-07-14 00:00:00.000",0,"NULL","2013-04-30 00:00:00.000"
13,"0,15","New Product","Reseller","2013-05-30 00:00:00.000","2013-08-29 00:00:00.000",0,"NULL","2013-04-30 00:00:00.000"
14,"0,20","New Product","Reseller","2013-05-30 00:00:00.000","2013-08-29 00:00:00.000",0,"NULL","2013-04-30 00:00:00.000"
15,"0,50","Seasonal Discount","Customer","2013-07-14 00:00:00.000","2013-08-14 00:00:00.000",0,"NULL","2013-06-14 00:00:00.000"
16,"0,40","Discontinued Product","Reseller","2014-03-31 00:00:00.000","2014-05-30 00:00:00.000",0,"NULL","2014-03-01 00:00:00.000"
