"CustomerID","PersonID","StoreID","TerritoryID","ModifiedDate"
1,"NULL","934",1,"2014-09-12 11:15:07.263"
2,"NULL","1028",1,"2014-09-12 11:15:07.263"
3,"NULL","642",4,"2014-09-12 11:15:07.263"
4,"NULL","932",4,"2014-09-12 11:15:07.263"
5,"NULL","1026",4,"2014-09-12 11:15:07.263"
6,"NULL","644",4,"2014-09-12 11:15:07.263"
7,"NULL","930",1,"2014-09-12 11:15:07.263"
8,"NULL","1024",5,"2014-09-12 11:15:07.263"
9,"NULL","620",5,"2014-09-12 11:15:07.263"
10,"NULL","928",6,"2014-09-12 11:15:07.263"
11,"NULL","1022",6,"2014-09-12 11:15:07.263"
12,"NULL","622",6,"2014-09-12 11:15:07.263"
13,"NULL","434",7,"2014-09-12 11:15:07.263"
14,"NULL","1020",8,"2014-09-12 11:15:07.263"
15,"NULL","624",9,"2014-09-12 11:15:07.263"
16,"NULL","432",10,"2014-09-12 11:15:07.263"
17,"NULL","1018",5,"2014-09-12 11:15:07.263"
18,"NULL","1332",3,"2014-09-12 11:15:07.263"
19,"NULL","430",1,"2014-09-12 11:15:07.263"
20,"NULL","1016",1,"2014-09-12 11:15:07.263"
21,"NULL","1334",4,"2014-09-12 11:15:07.263"
22,"NULL","494",3,"2014-09-12 11:15:07.263"
23,"NULL","1014",4,"2014-09-12 11:15:07.263"
24,"NULL","1336",4,"2014-09-12 11:15:07.263"
25,"NULL","492",4,"2014-09-12 11:15:07.263"
26,"NULL","1012",5,"2014-09-12 11:15:07.263"
27,"NULL","1338",5,"2014-09-12 11:15:07.263"
28,"NULL","490",6,"2014-09-12 11:15:07.263"
29,"NULL","1010",6,"2014-09-12 11:15:07.263"
30,"NULL","1340",6,"2014-09-12 11:15:07.263"
31,"NULL","942",7,"2014-09-12 11:15:07.263"
32,"NULL","1008",8,"2014-09-12 11:15:07.263"
33,"NULL","1342",9,"2014-09-12 11:15:07.263"
34,"NULL","940",10,"2014-09-12 11:15:07.263"
35,"NULL","1006",2,"2014-09-12 11:15:07.263"
36,"NULL","1344",2,"2014-09-12 11:15:07.263"
37,"NULL","938",1,"2014-09-12 11:15:07.263"
38,"NULL","1004",1,"2014-09-12 11:15:07.263"
39,"NULL","1346",3,"2014-09-12 11:15:07.263"
40,"NULL","936",4,"2014-09-12 11:15:07.263"
41,"NULL","1002",4,"2014-09-12 11:15:07.263"
42,"NULL","1348",4,"2014-09-12 11:15:07.263"
43,"NULL","1290",1,"2014-09-12 11:15:07.263"
44,"NULL","1000",5,"2014-09-12 11:15:07.263"
45,"NULL","1350",5,"2014-09-12 11:15:07.263"
46,"NULL","1288",6,"2014-09-12 11:15:07.263"
47,"NULL","998",6,"2014-09-12 11:15:07.263"
