"TerritoryID","Name","CountryRegionCode","Group","SalesYTD","SalesLastYear"
1,"Northwest","US","North America","7887186,7882","3298694,4938"
2,"Northeast","US","North America","2402176,8476","3607148,9371"
3,"Central","US","North America","3072175,118","3205014,0767"
4,"Southwest","US","North America","10510853,8739","5366575,7098"
5,"Southeast","US","North America","2538667,2515","3925071,4318"
6,"Canada","CA","North America","6771829,1376","5693988,86"
7,"France","FR","Europe","4772398,3078","2396539,7601"
8,"Germany","DE","Europe","3805202,3478","1307949,7917"
9,"Australia","AU","Pacific","5977814,9154","2278548,9776"
10,"United Kingdom","GB","Europe","5012905,3656","1635823,3967"
